run_id,user,session_file,bin,method,n_candidates_kept,pearson
,G,240412_userG_tripod_04_2.csv,25,phase,131,0.9718588832581113
,G,240412_userG_tripod_04_3.csv,28,phase,118,0.9582759251589213
,G,240412_userG_tripod_04_4.csv,53,abs,99,0.7075790520525735
,G,240412_userG_tripod_04_5.csv,24,phase,121,0.9445625613647758
,G,240412_userG_tripod_04_6.csv,24,phase,102,0.9480084844378492
,G,240412_userG_tripod_04_7.csv,24,phase,109,0.9434979672033271
,H,231019_userH_tripod_01_1.csv,30,abs,133,0.5953194117016076
,H,231019_userH_tripod_01_2.csv,35,abs,157,0.953756146315922
,H,231019_userH_tripod_01_3.csv,43,phase,137,0.8201112125102771
,H,231019_userH_tripod_01_4.csv,26,phase,125,0.908850506519423
,H,231019_userH_tripod_01_5.csv,26,phase,142,0.8366634178279275
,H,231019_userH_tripod_01_6.csv,35,abs,141,0.8865608513976542
,H,231019_userH_tripod_01_7.csv,27,phase,142,0.9569342150023318
,H,240229_userH_tripod_01_0.csv,69,abs,104,0.7927832599427858
,H,240229_userH_tripod_01_1.csv,24,phase,106,0.4890763938170631
,H,240229_userH_tripod_01_2.csv,69,abs,124,0.9087484722244596
,H,240229_userH_tripod_01_3.csv,36,abs,114,-0.023978330972331163
,H,240229_userH_tripod_01_4.csv,24,phase,116,0.8058285338158776
,H,240229_userH_tripod_01_5.csv,37,abs,120,0.3228183781735742
,H,240229_userH_tripod_01_6.csv,16,abs,129,0.03727962698375425
,H,240229_userH_tripod_01_7.csv,37,abs,145,0.1773200752755592
,H,240229_userH_tripod_02_0.csv,37,abs,115,-0.17884258330291739
,H,240229_userH_tripod_02_1.csv,38,abs,107,0.2742182634010796
,H,240229_userH_tripod_02_2.csv,51,phase,129,0.4555996707187075
,H,240229_userH_tripod_02_3.csv,24,phase,122,0.8294957354011042
,H,240229_userH_tripod_02_4.csv,24,phase,134,0.12881165682051054
,H,240229_userH_tripod_02_5.csv,38,abs,131,0.8914263077407177
,H,240229_userH_tripod_02_6.csv,28,abs,113,0.6008247836033641
,H,240229_userH_tripod_02_7.csv,26,abs,112,0.7144928321411732
,H,240229_userH_tripod_03_0.csv,22,abs,119,0.8008525609911767
,H,240229_userH_tripod_03_1.csv,108,phase,110,0.15831308138791883
,H,240229_userH_tripod_03_2.csv,23,abs,106,0.6539987300314768
,H,240229_userH_tripod_03_3.csv,30,abs,120,-0.008989720812258153
,H,240229_userH_tripod_03_4.csv,25,phase,109,0.935307576862269
,H,240229_userH_tripod_03_5.csv,10,abs,147,0.2055220912652506
,H,240229_userH_tripod_03_6.csv,26,phase,92,0.8885809112651862
,H,240229_userH_tripod_03_7.csv,71,phase,112,0.03815277769325586
,H,240229_userH_tripod_04_0.csv,24,phase,137,0.8258104300787533
,H,240229_userH_tripod_04_1.csv,38,phase,118,0.9198314528758926
,H,240229_userH_tripod_04_2.csv,26,phase,125,-0.9206425492482484
,H,240229_userH_tripod_04_3.csv,82,phase,109,0.763876523820344
,H,240229_userH_tripod_04_4.csv,28,phase,120,-0.37501823636286596
,H,240229_userH_tripod_04_5.csv,23,phase,114,-0.30289169745210975
,H,240229_userH_tripod_04_6.csv,16,abs,120,0.06878636610318505
,H,240229_userH_tripod_04_7.csv,37,phase,116,0.7338962729213369
,H,240229_userH_tripod_05_0.csv,70,abs,131,0.8826148581781982
